n,c1,c2
368,52616.0,52728.0
369,52816.0,52816.0
370,52904.0,53016.0
371,53104.0,53104.0
372,53192.0,53304.0
373,53392.0,53392.0
374,53480.0,53592.0
375,53680.0,53680.0
376,53768.0,53880.0
377,53968.0,53968.0
378,54056.0,54168.0
379,54256.0,54256.0
380,54344.0,54456.0
381,54544.0,54544.0
382,54632.0,54744.0
383,54832.0,54832.0
384,54920.0,55032.0
385,55120.0,55120.0
386,55208.0,55320.0
387,55408.0,55408.0
388,55496.0,55608.0
389,55696.0,55696.0
390,55784.0,55896.0
391,55984.0,55984.0
392,56072.0,56184.0
393,56272.0,56272.0
394,56360.0,56472.0
395,56560.0,56560.0
396,56648.0,56760.0
397,56848.0,56848.0
398,56936.0,57048.0
399,57136.0,57136.0
